"Response ID","Did you take part in the decompiler survey last year?","How much time (approx.) did you spend working with C code? (Development, Reviews, Learning, ...)","How much time did you spend reversing executables before?","Please consider the following decompiled function:    ","What does this function return?  Please note that you cannot change the answer after selecting it.","What does this function return?  Please note that you cannot change the answer after selecting it. [Comment]","The function shown here is a Domain Generation Algorithm (DGA) which are commonly used to generate different domain names in order to implement domain fluxing.  The main goal of these algorithms is to allow communication with an endpoint those domains is going to change sequentially (for example: in a botnet).","Please type all utilized top-level-domains (TLDs)","Which Top-Level domain will be utilized the most?","Which of these second-level domains can potentially be generated by the function? [simpmpfp]","Which of these second-level domains can potentially be generated by the function? [xfbcbcic]","Which of these second-level domains can potentially be generated by the function? [facebook]","Which of these second-level domains can potentially be generated by the function? [squzuzfz]","Which of these second-level domains can potentially be generated by the function? [rlpmpmgmjdh]","How many domains can potentially be generated by this function per day?",".tab {   overflow: hidden;   border: 1px solid #ccc;   background-color: #f1f1f1; }  /* Style the buttons that are used to open the tab content */ .tab button {   background-color: inherit;   color:black;   float: left;   border: none;   outline: none;   cursor: pointer;   padding: 14px 16px;   transition: 0.3s; }  /* Change background color of buttons on hover */ .tab button:hover {   background-color: #ddd; }  /* Create an active/current tablink class */ .tab button.active {   background-color: #ccc; }  /* Style the tab content */ .tabcontent {   display: none;   padding: 0;   border: 1px solid #ccc;   border-top: none; }   hexraysghidrabinaryninjadewolfsnowmanretdecjeb                                   ","Which aspects in the decompiled codes above is especially favorable to you?","Which aspects of the presented decompiled functions do you deem unhelpful or hamper your understanding of the code?","Thank you for getting this far!  If you would like to leave us any feedback about the survey, please use the lines below to help us improve ourselves.","Total time","Group time: Assesment","Question time: lastsurvey","Question time: c","Question time: reversing","Group time: Comprehension","Question time: code","Question time: purpose","Question time: hint","Question time: tlds","Question time: frequent","Question time: domains","Question time: entropy","Group time: Comparision","Question time: decompiler","Question time: ranking","Question time: positive","Question time: negative","Group time: Feedback","Question time: feedback"
"1","Yes","More than a year","More than a year","","Generates random domains","Obviuously does not encrypt or manipulate system time.
Function does not obtain enough information to do virtual machine detection.

ASCII printable text in result most likely points to generation of random domains.","",".com, .to, .net, .ru",".com","Yes","Yes","Yes","No","No","2941884","","hexrays: Automatic renaming of some variables, creation of structs.
ghira: As above.
dewolf: Seems to be the cleanest. Likely not as ""aggressive"" in analysis, but that is favourable in many situations.
snowman: Useful information, but with drawbacks.
retdec: likewise.
","ghidra: Not as good at handling loops. (e.g, line 14)
binary ninja: Nasty way of naming variables.
snowman: type-casting is useful when deep diving, but for quick glances, it only adds to clutter the viewport. (hotkey to toggle?)
retdec: Addresses on comments only add to the clutter.
jeb: Type-casting seems off","More code decompilation examples would be helpful.","2535.09","301.84","","","","872.34","","","","","","","","1185.5","","","","","175.41",""
"4","Yes","Serveral days","A few hours","","No Idea","it does something with the system time apparently. Maybe a repeatedly called generator function?","",".com, .to, .net, .ru",".com","Yes","Yes","Yes","Yes","No","86400000","","hexrays: type info
ghidra: type info
binaryninja: -
dewolf: looks simple and uncluttered
snowman: -
retdec: -
jeb: type info","hexrays: I don't care about registers
ghidra: numbers represented as char strings, all those () and * and shit
binaryninja: I don't care about registers, not even in variable names
dewolf: -
snowman: are we using registers as variable names again? also, what is this casting nonsense
retdec: What are those comments about
jeb: all those () and *","","2363.86","18.56","","","","1875.68","","","","","","","","457.57","","","","","12.05",""
"5","No","Serveral days","More than a year","","Generates random domains","","",".com, .to, .net, .ru",".com","Yes","Yes","Yes","No","No","440301256704","","binaryninja: the switch-statement is represented as if-statement. Values, especially numbers, are shown as hexdecimals.
hexrays:  de-obfuscation  of variables, that's neat. 
ghidra: type-casting is shown.
dewolf: proper for-loop. type-casting shown. Values are well very represented and only then shown as characters where appropriate.
snowman: -
retdec: usage of indentation
jeb: the best switch-statement of all shown decompilations: no unnecessary brackets, a default statement, ... -> allows a clear track of flow here. Also, good type deduction for the systemTime.","binaryninja: the for-loop is shown as while loop. Casts are sometimes difficult to read.
hexrays: the default in the switch-statement bugs me and it is redundant. Usage of decimal values seems inappropriate here.
ghidra: strange naming of variables.  local_5 is shown as character, which confuses more than it helps.
dewolf: no indentation in switch-statement
snowman: not clear what intrinsic does. Casts clutter the lines. Very bad naming convention (variable names should be longer)
retdec: those comments... really? Fall-through cases are less clear with these brackets
jeb: too many casts (line 8).","","3824.31","31.36","","","","2424.49","","","","","","","","1360.23","","","","","8.23",""
"6","No","On a regular basis","A few hours","","Manipulates the system time","for loop changes first 8 bytes of output, switch statement last 8 bytes. Both changes depend on system time.","",".to, .net, .ru, .com",".com","Yes","Yes","Yes","Yes","No","345600","","hexray, snowman, retdec: addresses, registers as variable names, or in comments (guess I prefer it as comment as I can rename vars)

dewolf, retdec: short lines
","I lack the experience to say what I see as unhelpful other than the opposit of question 1","","1114.47","21.02","","","","784.32","","","","","","","","305.65","","","","","3.48",""
"7","Yes","On a regular basis","More than a year","","Generates random domains"," It returns some random (not really) values generated from system time and tick count. Probably uses it to generate random domains.","",".com .net .ru .to ",".com","Yes","Yes","Yes","No","No","2073600000","","hex-rays, cleanest code with the min amt of variables used. variable names makes more sense. ","binja's (and snowman) variables being named after their registers is a huge pain to read, I also have no idea what is sx.d etc. ","","2957.06","17.95","","","","2673.67","","","","","","","","259.93","","","","","5.51",""
"9","Yes","More than a year","Serveral days","","Manipulates the system time","","",".com, .to, .net, .ru",".com","Yes","Yes","No","No","No","4","","hexrays, ghidra: variable name guessing, including struct members
jeb: variable name guessing","binaryninja, snowman: very basic disassembly, looking at their assembly codes might be more useful. ","","676.63","15.98","","","","87.27","","","","","","","","565.67","","","","","7.71",""
"10","No","Serveral days","Serveral days","","Encryptes memory regions","","",".to, .net,  .com",".to","","","","","No","43200000","","Using strings resolved e.g: lpSystemTime->wYear in line 16","In line 19, &lpSystemTime->wHour replaces the address calculation. May be confusing.","NIL","1797.98","35.38","","","","1572.35","","","","","","","","181.39","","","","","8.86",""
"14","Yes","On a regular basis","On a regular basis","","Generates random domains","","",".com, .to, .net, .ru",".com","","","","","","4294967296","","Hexrays: structure aware (e.g. LPSYSTEMTIME), renames variables based on what is known from the windows APIs (e.g. GetTickCount())","ghidra: Converts the variable to a char (local_5) in the while loop. Not structure-aware as well (e.g. &lpSystemTime->wYear + (int)local_5): have to manually calculate the offset)","","1030.81","6.49","","","","621.74","","","","","","","","397.63","","","","","4.95",""
"16","Yes","Serveral days","More than a year","","Generates random domains","DGA","",".com, .ru, .net, .to",".com","Yes","Yes","Yes","Yes","No","110075314176","","* default case for switch statement: hexrays, jeb
* struct resolution: e.g. &lpSystemTime->wSecond: hexrays, ghidra, (jeb)
* correct variable type cast, e.g. LPSYSTEMTIME lpSystemTime: hexrays, ghidra, jeb
* DGA algorithm easily readable in: dewolf
* switch case possibilities: TickCount % 8 in hexrays, ","* weird type castings that clutter the code: ghidra, snowman (!), jeb
* IR: Binja IR is okayish but doesnt even come close to fully decompiled code like in hexrays or jeb
* retdec code formatting and comments (??)
* weird ass  loop condition: ghidra (while local_5 < '\b', the heck is that..","all gucci","881.54","17.26","","","","42.94","","","","","","","","811.34","","","","","10",""
"17","No","On a regular basis","More than a year","","Generates random domains","I don't know how you can dereferance 'var_4', but I guess it's x86?","",".com .to .net .ru",".com","Yes","Yes","Yes","No","No","86400000","","Best one is not surprisingly IDA it seems both very accurate and quite comprehensible. Only thing is that both '1836016430' and '97' should probably be in hex, but there probably is an option to default to hex.
Ghidra struggles with the '%' alot but otherwise it seems pretty much on par.
Dewolf and jeb have rather basic but pretty clean code. They are not trying to be as smart (not trying to infer the LPSYSTEMTIME) which kinda helps in this case as there is an intentional type confusion.
","1) The crazy C++ cast Situation in snowman, also not understanding a cdq before a mod is kinda weird.
2) Binja is not really a decompiler its more of a visualization of their bytecode.
3) Retdec is (I think) a command line tool so the comments at the end of the line make sense, but are really verbose.
     They would probably be less annoying if they were aligned and way to the right. 
4) In Jeb it seems like some of the Casts should be able to get folded. '(unsigned int *)(char *)  = (unsinged int *)' and '(char *)(int + (int)ptr)  = (char *)ptr + int'","","3285.24","38.65","","","","1192.03","","","","","","","","2046.15","","","","","8.41",""
